team,player_name,position,club,is_starter,notes
Tunisia,Firas Chaouat,,,1,auto: 2 intl goals since 2024-06-11
Tunisia,Ellyes Skhiri,,,1,auto: 1 intl goals since 2024-06-11
Tunisia,Hannibal Mejbri,,,1,auto: 1 intl goals since 2024-06-11
Tunisia,Montassar Talbi,,,1,auto: 1 intl goals since 2024-06-11
Tunisia,Seifeddine Jaziri,,,0,auto: 1 intl goals since 2024-06-11
Turkey,Kerem Aktürkoğlu,,,1,auto: 9 intl goals since 2024-06-11
Turkey,Merih Demiral,,,1,auto: 4 intl goals since 2024-06-11
Turkey,Arda Güler,,,1,auto: 4 intl goals since 2024-06-11
Turkey,Hakan Çalhanoğlu,,,1,auto: 4 intl goals since 2024-06-11
Turkey,Kenan Yıldız,,,1,auto: 4 intl goals since 2024-06-11
Turkey,İrfan Kahveci,,,1,auto: 2 intl goals since 2024-06-11
Turkey,İrfan Can Kahveci,,,1,auto: 2 intl goals since 2024-06-11
Turkey,Mert Müldür,,,1,auto: 2 intl goals since 2024-06-11
Turkey,Abdülkerim Bardakcı,,,1,auto: 1 intl goals since 2024-06-11
Turkey,Deniz Gül,,,1,auto: 1 intl goals since 2024-06-11
Turkey,Cenk Tosun,,,1,auto: 1 intl goals since 2024-06-11
Turkey,Ferdi Kadıoğlu,,,0,auto: 1 intl goals since 2024-06-11
Turkey,Orkun Kökçü,,,0,auto: 1 intl goals since 2024-06-11
Turkey,Samet Akaydin,,,0,auto: 1 intl goals since 2024-06-11
Turkey,Salih Özcan,,,0,auto: 1 intl goals since 2024-06-11
United States,Diego Luna,,,1,auto: 3 intl goals since 2024-06-11
United States,Malik Tillman,,,1,auto: 3 intl goals since 2024-06-11
United States,Patrick Agyemang,,,1,auto: 2 intl goals since 2024-06-11
United States,Folarin Balogun,,,1,auto: 2 intl goals since 2024-06-11
United States,Chris Richards,,,1,auto: 2 intl goals since 2024-06-11
United States,Brenden Aaronson,,,1,auto: 1 intl goals since 2024-06-11
United States,Christian Pulisic,,,1,auto: 1 intl goals since 2024-06-11
United States,Haji Wright,,,1,auto: 1 intl goals since 2024-06-11
United States,Maximilian Arfsten,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Rodrigo Aguirre,,,1,auto: 3 intl goals since 2024-06-11
Uruguay,Darwin Núñez,,,1,auto: 2 intl goals since 2024-06-11
Uruguay,Giorgian de Arrascaeta,,,1,auto: 2 intl goals since 2024-06-11
Uruguay,Federico Valverde,,,1,auto: 2 intl goals since 2024-06-11
Uruguay,Maximiliano Araújo,,,1,auto: 2 intl goals since 2024-06-11
Uruguay,Rodrigo Bentancur,,,1,auto: 2 intl goals since 2024-06-11
Uruguay,Federico Viñas,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Facundo Pellistri,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Mathías Olivera,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Manuel Ugarte,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Luis Suárez,,,1,auto: 1 intl goals since 2024-06-11
Uruguay,Matías Viña,,,0,auto: 1 intl goals since 2024-06-11
Uzbekistan,Abbosbek Fayzullaev,,,1,auto: 4 intl goals since 2024-06-11
Uzbekistan,Eldor Shomurodov,,,1,auto: 2 intl goals since 2024-06-11
Uzbekistan,Azizbek Turgunboev,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Husniddin Aliqulov,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Igor Sergeev,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Jaloliddin Masharipov,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Khojiakbar Alijonov,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Khojimat Erkinov,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Oston Urunov,,,1,auto: 1 intl goals since 2024-06-11
Uzbekistan,Otabek Shukurov,,,1,auto: 1 intl goals since 2024-06-11
